,Abundance: F1: 128C  Sample  1  C,Abundance: F2: 128C  Sample  2  C,Abundance: F3: 128C  Sample  3  C,Abundance: F1: 12       9C  Sample  1  A,Abundance: F2: 129C  Sample  2  A,Abundance: F3: 129C  Sample  3  A,Abundance: F1: 130C  Sample  1  AB,Abundance: F2: 130C  Sample  2  AB,Abundance: F3: 130C  Sample  3  AB,Abundance: F1: 131  Sample  1  B,Abundance: F2: 131  Sample  2  B,Abundance: F3: 131  Sample  3  B,Abundances Count: F1: 128C  Sample  1  C,Abundances Count: F2: 128C  Sample  2  C,Abundances Count: F3: 128C  Sample  3  C,Abundances Count: F1: 129C  Sample  1  A,Abundances Count: F2: 129C  Sample  2  A,Abundances Count: F3: 129C  Sample  3  A,Abundances Count: F1: 130C  Sample  1  AB,Abundances Count: F2: 130C  Sample  2  AB,Abundances Count: F3: 130C  Sample  3  AB,Abundances Count: F1: 131  Sample  1  B,Abundances Count: F2: 131  Sample  2  B,Abundances Count: F3: 131  Sample  3  B,Found in File: [F1],Found in File: [F2],Found in File: [F3],Found in Fraction: F1.1,Found in Fraction: F1.2,Found in Fraction: F1.3,Found in Fraction: F1.4,Found in Fraction: F1.5,Found in Fraction: F1.6,Found in Fraction: F2.1,Found in Fraction: F2.2,Found in Fraction: F2.3,Found in Fraction: F2.4,Found in Fraction: F2.5,Found in Fraction: F2.6,Found in Fraction: F3.1,Found in Fraction: F3.2,Found in Fraction: F3.3,Found in Fraction: F3.4,Found in Fraction: F3.5,Found in Fraction: F3.6,Found in Sample: [S1] F1: 128C  Sample  1  C,Found in Sample: [S5] F2: 128C  Sample  2  C,Found in Sample: [S9] F3: 128C  Sample  3  C,Found in Sample: [S2] F1: 129C  Sample  1  A,Found in Sample: [S6] F2: 129C  Sample  2  A,Found in Sample: [S10] F3: 129C  Sample  3  A,Found in Sample: [S3] F1: 130C  Sample  1  AB,Found in Sample: [S7] F2: 130C  Sample  2  AB,Found in Sample: [S11] F3: 130C  Sample  3  AB,Found in Sample: [S4] F1: 131  Sample  1  B,Found in Sample: [S8] F2: 131  Sample  2  B,Found in Sample: [S12] F3: 131  Sample  3  B,Found in Sample Group: C,Found in Sample Group: A,Found in Sample Group: AB,Found in Sample Group: B,Modifications,normalized Abundances Count: F1: 130C  Sample  1  AB,normalized Abundance: F2: 130C  Sample  2  AB,normalized Abundance: F3: 128C  Sample  3  C,normalized Abundance: F3: 129C  Sample  3  A,normalized Abundance: F1: 131  Sample  1  B,normalized Abundance: F2: 128C  Sample  2  C,average_normalized : F3: 12,P VALUE of : F3: 12,average_normalized : F,P VALUE of : F,average_normalized_of_CONTROL
39,37751.7,39174.8,27214.5,44445.3,45927.7,31865.1,37363.6,37818.2,26147.1,52484.9,53168.0,36724.2,35.0,35.0,34.0,35.0,36.0,34.0,35.0,36.0,34.0,35.0,36.0,34.0,High,High,High,High,Not Found,Not Found,Not Found,Not Found,High,High,High,Not Found,Not Found,Not Found,High,High,High,High,Not Found,Not Found,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Acetyl [N-Term],35.0,183.990034894645,152.23573550403148,158.22881065716928,201.28037926976026,148.1339905074845,155.23227308060038,0.6494244015468509,174.70718488862238,0.53739804356766,109.4950174473225
40,4630.3,5999.1,4095.2,5248.0,6705.0,4669.8,3620.8,4730.7,3210.8,4860.2,6249.5,4414.5,49.0,50.0,46.0,49.0,50.0,46.0,49.0,49.0,46.0,49.0,50.0,46.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,49.0,23.015417393638437,22.908221133443927,23.18828122324578,18.638939948954626,22.68475199499296,23.048251178344856,0.5007932386108804,20.661845971973793,0.4440157311431684,36.00770869681922
41,32430.2,32699.3,26495.5,35593.1,36404.2,29273.1,23405.8,23860.1,18861.1,32752.5,33004.0,26733.8,32.0,33.0,32.0,32.0,33.0,32.0,32.0,33.0,32.0,32.0,33.0,32.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,32.0,116.08222050731445,148.21370703290768,145.35801856100818,125.60632909718457,123.64779898816043,146.78586279695793,0.3333409447189384,124.6270640426725,0.4413571203471052,74.04111025365722
42,20599.7,17276.5,12494.9,24002.5,19793.3,14593.3,15888.4,13213.5,10043.9,21918.4,18055.3,13251.3,47.0,43.0,46.0,47.0,43.0,46.0,47.0,43.0,46.0,47.0,43.0,46.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Acetyl [N-Term],47.0,64.28524694671856,69.89547085374792,72.46424779973289,84.05739298324495,65.32865227142335,71.1798593267404,0.3181253393529423,74.69302262733416,0.2743067054079418,55.64262347335928
43,8535.9,9561.4,7640.1,9756.3,10902.5,8760.4,7826.5,8707.0,7040.3,12142.7,13849.3,10882.1,46.0,45.0,44.0,46.0,45.0,44.0,46.0,45.0,44.0,46.0,45.0,44.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,46.0,42.36058918266004,42.73810809768142,43.50049655833704,46.56743675531282,36.15508788400354,43.119302328009226,0.6635610287006909,41.36126231965818,0.685260999391005,44.180294591330025
44,11428.6,11479.0,11662.2,13741.6,14027.7,14287.9,10488.9,10661.5,11128.9,15033.3,15090.3,15523.1,32.0,29.0,31.0,32.0,29.0,31.0,32.0,29.0,31.0,32.0,29.0,31.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,32.0,51.869463830358335,65.23741368002779,70.9477586384028,57.652931141644295,43.40622229176446,68.0925861592153,0.2103088516226618,50.529576716704376,0.5612598910953032,41.93473191517917
45,4262.4,4405.4,2504.8,4845.5,5076.6,2952.4,3210.8,3261.2,1882.0,4258.4,4408.3,2530.8,37.0,35.0,31.0,37.0,35.0,31.0,37.0,35.0,31.0,37.0,35.0,31.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Acetyl [N-Term],37.0,15.866125352301703,14.011650785077737,14.660388342864971,16.33102791626443,16.658399833098628,14.336019563971355,0.45695680216347073,16.49471387468153,0.5194872775269941,26.43306267615085
46,5578.7,4667.8,4245.1,6486.3,5363.2,4842.0,4688.6,3934.7,3562.3,6597.2,5549.6,4975.9,44.0,40.0,43.0,44.0,40.0,43.0,44.0,40.0,43.0,44.0,40.0,43.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,44.0,19.142782847939873,23.746749739593383,24.04335467963426,25.300361020378475,17.650628487977887,23.895052209613823,0.6477641662433671,21.47549475417818,0.5623362917678055,31.571391423969935
47,14382.2,16721.5,12367.2,17249.0,20282.1,15216.3,14542.6,17128.7,12994.2,21281.6,25025.5,18703.5,38.0,39.0,38.0,38.0,39.0,38.0,38.0,39.0,38.0,38.0,39.0,38.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,38.0,83.33315997852637,69.18112727132441,75.55780623951235,81.61525542522382,63.22999791373285,72.36946675541839,0.6965009499012651,72.42262666947833,0.698279764130677,60.666579989263184
48,19617.8,19739.7,16174.5,16952.7,16927.3,14021.9,11933.2,11830.6,9837.8,18638.8,18604.1,15293.3,34.0,34.0,34.0,34.0,34.0,34.0,33.0,34.0,34.0,34.0,33.0,34.0,High,High,High,Not Found,Not Found,High,High,Not Found,Not Found,Not Found,Not Found,High,High,Not Found,Not Found,Not Found,Not Found,High,High,Not Found,Not Found,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,33.0,57.557274191383705,90.47885884032252,69.62691346186774,71.48007775823537,74.64289626036614,80.05288615109512,0.16683880333681167,73.06148700930075,0.26044814807274935,45.27863709569185
49,6810.9,6490.4,4215.8,5760.3,5512.0,3576.1,3991.1,3859.0,2480.8,6540.8,6448.1,4014.7,8.0,9.0,8.0,8.0,9.0,8.0,8.0,9.0,8.0,8.0,9.0,8.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,8.0,18.77449335659643,23.582847883955097,17.757422691003732,25.084066173845198,24.54253377144943,20.670135287479415,0.38602821891213,24.813299972647314,0.279803702296891,13.387246678298215
50,22070.7,23407.0,15923.4,23799.0,25077.4,17250.0,19108.7,20648.8,14203.0,26741.0,28856.2,19376.1,30.0,30.0,29.0,30.0,30.0,29.0,30.0,30.0,28.0,30.0,30.0,29.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,30.0,100.4588645819353,89.0742255314224,85.65631313996097,102.55213636784406,88.51027486569656,87.36526933569169,0.6428005217882975,95.53120561677031,0.5453572368797919,65.22943229096765
51,22544.8,26330.5,15682.1,27429.0,32302.2,19032.8,16740.6,19644.6,11835.1,21220.7,24819.1,14660.7,33.0,36.0,37.0,33.0,36.0,37.0,33.0,36.0,37.0,33.0,36.0,37.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,33.0,95.57331230707287,87.7244126384013,94.50895517276805,81.38170301114799,99.56507849580139,91.11668390558468,0.547902445545768,90.47339075347469,0.5527227961298478,64.28665615353643
52,16070.9,16613.4,9561.1,16723.9,17417.5,10048.0,12266.8,13015.7,7486.1,17631.8,18301.2,10383.3,46.0,44.0,44.0,46.0,44.0,44.0,46.0,44.0,44.0,46.0,44.0,44.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,46.0,63.32292645282512,53.484028393966284,49.89418170610596,67.61821764371388,62.82123298388359,51.68910505003612,0.7901334249373294,65.21972531379873,0.42828931894136646,54.661463226412565
53,10830.2,10701.4,8244.0,13287.2,13170.3,10309.6,10145.3,10145.2,8072.4,14021.8,13896.0,10883.2,39.0,38.0,33.0,39.0,38.0,33.0,39.0,38.0,33.0,39.0,38.0,33.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,39.0,49.357603006307876,46.116276378226154,51.19317831581111,53.77381345958026,40.46583737547593,48.654727347018635,0.5438970982201785,47.11982541752809,0.7622967587355197,44.178801503153935
54,27425.1,22827.0,14676.2,30671.8,25814.2,16799.5,23997.2,20180.1,13046.2,33847.2,28038.6,18040.4,40.0,38.0,39.0,40.0,38.0,39.0,40.0,37.0,39.0,40.0,38.0,39.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,40.0,98.17858341162258,82.09748852281935,83.41931783158111,129.80452002803528,86.3170865279299,82.75840317720022,0.7203444921249078,108.06080327798259,0.40310437429824586,69.08929170581129
55,7652.7,7537.7,6019.6,8581.9,8614.0,6798.7,6498.2,6420.8,5242.4,9933.7,9765.2,7675.7,52.0,52.0,49.0,52.0,52.0,49.0,52.0,52.0,49.0,52.0,52.0,49.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,52.0,31.23795463696148,33.67316075768682,33.75951166055957,38.095888599426075,28.502751264799457,33.7163362091232,0.5857711900120428,33.299319932112766,0.5685319438034564,41.61897731848074
56,4309.9,5629.9,5184.2,4989.5,6451.7,5835.3,3547.0,4657.4,4249.4,4957.7,6619.4,6003.4,46.0,42.0,48.0,46.0,42.0,48.0,46.0,42.0,48.0,46.0,42.0,48.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,46.0,22.658804187357397,29.0,28.975668641484884,19.012853912376517,21.288674177228394,28.987834320742444,0.7267410396331071,20.150764044802457,0.4370314635720309,34.329402093678695
57,10645.6,8426.2,6693.2,12492.4,10028.4,7808.2,8303.5,6685.8,5270.9,11845.4,9406.8,7375.0,36.0,32.0,32.0,36.0,32.0,32.0,36.0,32.0,32.0,36.0,32.0,32.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,36.0,32.52721111260234,37.44122526137109,38.7722680730112,45.427286793001755,31.862488916705786,38.106746667191146,0.2405092279411831,38.64488785485377,0.633958146199741,34.26360555630117
58,12212.5,12778.7,8683.1,14244.5,14843.9,9906.8,12478.6,13124.6,8767.9,15693.1,16554.8,10984.4,40.0,42.0,41.0,40.0,42.0,41.0,40.0,42.0,41.0,40.0,42.0,41.0,High,High,High,Not Found,Not Found,Not Found,Not Found,Not Found,High,Not Found,Not Found,Not Found,Not Found,Not Found,High,Not Found,Not Found,Not Found,Not Found,Not Found,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,40.0,63.85273788753187,48.57256664480538,49.193041334200885,60.1832740448829,48.32085484796328,48.88280398950313,0.8409399952034116,54.25206444642309,0.8824057474499494,51.92636894376594
59,4157.0,4895.1,3110.7,4524.7,5419.2,3470.6,3242.1,3818.5,2474.6,4453.2,5240.2,3378.9,40.0,39.0,39.0,40.0,39.0,39.0,40.0,39.0,39.0,40.0,39.0,39.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,40.0,18.577456046168297,17.40100690559778,17.233553645423104,17.07808884010632,18.51013143483023,17.31728027551044,0.46465985823157957,17.794110137468277,0.4770167515544615,29.288728023084147
60,46.1,0.0,7.4,51.4,0.0,6.3,56.9,0.0,1.2,66.6,0.0,6.7,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,High,Not Found,High,High,Not Found,Not Found,Not Found,High,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,High,Not Found,High,Not Found,High,High,Not Found,High,High,Not Found,High,High,Not Found,High,High,High,High,High,0.0,1.0,0.0,0.041395007908645504,0.031283175233724876,0.25541199962972266,0.0,0.036339091571185186,0.5239860442136774,0.12770599981486133,0.5905281768163868,0.5
61,5694.5,6200.4,4113.4,6744.4,7393.6,5000.5,5359.0,5833.8,3898.8,7610.3,8472.6,5710.6,33.0,36.0,33.0,33.0,36.0,33.0,33.0,36.0,32.0,33.0,36.0,33.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,33.0,28.38212991544759,23.010030477219242,24.830399643847816,29.185614726457636,23.445939602566106,23.92021506053353,0.17432897134604539,26.31577716451187,0.36154831175192037,30.691064957723796
62,4470.0,4623.5,2448.7,4827.6,5023.0,2728.2,3419.9,3519.8,1900.2,5076.6,5163.7,2834.3,30.0,38.0,28.0,30.0,38.0,28.0,30.0,38.0,28.0,30.0,38.0,28.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,30.0,17.124245067776137,13.697831873770301,13.547104551214,19.468837197000756,17.48311427528295,13.622468212492151,0.3658713496702075,18.475975736141855,0.5731080442333844,23.56212253388807
63,18319.1,16520.1,14992.3,19484.1,17506.3,15973.2,15061.2,13893.5,12562.8,20958.4,19164.1,17370.3,35.0,39.0,39.0,35.0,39.0,39.0,35.0,39.0,39.0,35.0,39.0,39.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,35.0,67.59352771440075,83.86572663091701,79.31625629259273,80.37577857416788,62.468432170239396,81.59099146175487,0.3095997346105144,71.42210537220365,0.41870879208596,51.296763857200375
64,6407.8,7546.9,4354.5,7517.4,8911.9,5129.1,5078.1,6043.4,3428.9,6570.0,7959.6,4485.7,43.0,47.0,38.0,43.0,47.0,38.0,43.0,47.0,38.0,43.0,47.0,38.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,43.0,29.401858810897863,24.358724586242815,25.46897366528544,25.19604861212129,28.53753976946748,24.913849125764127,0.34368545741243756,26.866794190794387,0.39160707708148046,36.20092940544893
65,11380.6,13729.0,8788.0,12614.8,15368.3,9798.3,9097.4,11298.5,7061.5,13242.4,15996.5,10083.0,37.0,38.0,36.0,37.0,38.0,36.0,37.0,38.0,36.0,37.0,38.0,36.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,37.0,54.96854449067239,49.15936885151036,48.654275538508955,50.784802761210805,51.91428049861785,48.90682219500965,0.7997911815390873,51.34954162991433,0.6571998831504247,45.9842722453362
66,20649.2,18730.9,13728.8,23171.4,20980.0,15486.9,15577.3,14103.5,10368.3,23319.0,20641.8,15104.3,27.0,30.0,28.0,27.0,30.0,28.0,27.0,30.0,28.0,27.0,30.0,28.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,27.0,68.61520265736142,76.79780872651519,76.90149309955139,89.42871500548804,70.82826109633339,76.84965091303329,0.3957795095885192,80.12848805091072,0.33988342680373,47.80760132868071
67,32327.1,32414.1,19735.0,40938.2,40872.8,25189.4,29635.2,29245.7,18084.4,41532.7,41226.0,25400.6,30.0,30.0,29.0,31.0,30.0,29.0,31.0,30.0,29.0,31.0,30.0,29.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Acetyl [N-Term],31.0,142.2838041873574,110.39601095636743,125.08006575117292,159.27852788320394,122.56935534345172,117.73803835377018,0.6753803122074801,140.92394161332783,0.5011632490882696,86.6419020936787
68,5513.2,6496.9,5957.0,6274.6,7449.9,6833.0,4119.7,4814.7,4589.5,5393.3,6315.3,5923.5,27.0,35.0,33.0,27.0,35.0,33.0,27.0,35.0,33.0,27.0,35.0,33.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Acetyl [N-Term],27.0,23.424087370822708,33.32298136645963,33.92983117016541,20.68338645049525,24.56711260626923,33.62640626831252,0.12499554815969942,22.62524952838224,0.4310302451094966,25.212043685411352
69,5825.9,6214.9,2826.1,6186.0,6486.9,3030.3,4312.4,4728.0,2130.1,5955.9,6323.4,2863.6,49.0,39.0,31.0,49.0,39.0,31.0,49.0,39.0,31.0,49.0,39.0,31.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Acetyl [N-Term],49.0,23.00228157294323,15.808977277111223,15.047207287421665,22.840965894814794,23.500769311010274,15.428092282266444,0.3585540361880815,23.170867602912534,0.5040890985981434,36.001140786471616
70,6365.5,6727.9,4211.7,7803.8,8305.4,5254.4,5500.1,5831.7,3700.7,6758.6,7119.1,4464.6,39.0,36.0,37.0,39.0,36.0,37.0,39.0,36.0,37.0,39.0,36.0,37.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,39.0,28.371913166017983,23.55991281200571,26.09116126160063,25.91933244290456,25.440606582172848,24.82553703680317,0.33282491179878,25.679969512538705,0.37264290002144174,33.68595658300899
71,7084.7,7842.9,4546.4,7943.4,8757.7,5188.7,5364.0,5959.8,3494.7,7305.9,8173.2,4627.7,40.0,40.0,39.0,40.0,40.0,39.0,40.0,40.0,39.0,40.0,40.0,39.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,40.0,28.995134881223997,25.43219783187377,25.764922434163214,28.018236157579445,29.65682209356908,25.59856013301849,0.35234919687955374,28.837529125574264,0.488729256434153,34.497567440612
72,18514.6,18743.6,11041.5,21355.2,21896.4,13108.5,15810.0,16610.9,9955.9,22707.6,23591.7,13979.1,35.0,37.0,38.0,35.0,37.0,38.0,35.0,37.0,38.0,35.0,37.0,38.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,35.0,80.8140014763119,61.76526754369045,65.09134961131468,87.08398682870707,70.87628435821206,63.42830857750256,0.8494898079929654,78.98013559345956,0.5207014697947553,57.90700073815595
73,29097.6,28320.4,19226.3,32213.6,31480.7,21635.4,21621.6,21112.2,14413.0,28561.7,27865.5,18875.8,34.0,34.0,32.0,34.0,34.0,32.0,34.0,34.0,32.0,34.0,34.0,32.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Acetyl [N-Term],34.0,102.7133606227352,107.55038385864744,107.43238245265574,109.53454819555932,107.08960517394253,107.49138315565159,0.45866810626950744,108.31207668475093,0.45195004506769937,68.3566803113676
74,6978.3,8539.8,4227.1,7748.2,9261.5,4635.6,5221.8,6386.7,3094.5,7254.3,8877.7,4294.7,35.0,36.0,36.0,35.0,36.0,36.0,35.0,36.0,36.0,35.0,36.0,36.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Not Found,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,35.0,31.07205408669977,23.646059179815598,23.01845827197699,27.820349383091553,32.2920513221718,23.332258725896295,0.11979438579049657,30.056200352631677,0.42364184276533656,33.03602704334988
75,11386.9,11891.0,9225.3,13487.1,14259.5,10975.3,9174.0,9616.6,7550.4,12664.3,13258.7,10151.0,42.0,40.0,40.0,42.0,40.0,40.0,42.0,40.0,40.0,42.0,40.0,40.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Acetyl [N-Term],42.0,46.78590122131258,51.6055900621118,54.49876716550803,48.5677805842447,44.96414228341939,53.052178613809915,0.11478676529948989,46.76596143383205,0.5167087809161834,44.392950610656285
76,4421.0,5086.9,3900.2,5293.3,5871.2,4700.3,3761.7,4165.6,3249.5,5157.6,5676.7,4494.1,34.0,31.0,37.0,35.0,31.0,37.0,35.0,30.0,36.0,35.0,30.0,37.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,35.0,20.266138773319017,21.81740673585124,23.339731516043972,19.779473412766635,19.235396129974443,22.578569125947606,0.6168077558679874,19.50743477137054,0.4686745826062062,27.633069386659507
77,10854.0,10145.3,7330.9,12026.2,11293.7,8329.7,8001.9,7357.7,5472.3,10594.1,9646.8,7224.3,29.0,33.0,32.0,29.0,34.0,32.0,29.0,34.0,32.0,29.0,34.0,32.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Acetyl [N-Term],29.0,35.796084418198895,41.00846803749855,41.36181980069176,40.62853251167035,38.363023522662075,41.185143919095154,0.23411692533213924,39.49577801716622,0.26092596472062646,32.398042209099444
78,28447.5,27722.0,18401.1,34385.2,33661.5,22862.4,24036.9,23924.3,15961.5,33999.0,33533.2,22336.1,51.0,46.0,47.0,51.0,46.0,47.0,51.0,46.0,47.0,51.0,46.0,47.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,51.0,116.39456113273386,102.93428108483468,113.52515324817645,130.3866753064706,104.82683982683983,108.22971716650557,0.5890962214595187,117.60675756665522,0.47936343479347254,83.69728056636693
79,26240.7,27250.2,16172.8,31832.7,33025.1,19826.7,21706.1,22377.1,13242.5,30347.5,31271.5,18706.7,34.0,34.0,35.0,34.0,34.0,35.0,34.0,34.0,35.0,34.0,34.0,35.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Acetyl [N-Term],34.0,108.86724936250167,90.4693491763435,98.45113181055444,116.3831179994446,103.04279455484276,94.46024049344896,0.6486825739179761,109.71295627714368,0.48977962216783144,71.43362468125083
80,4393.0,5730.0,2733.7,5153.9,6821.9,3255.7,3856.7,5161.2,2496.0,5334.1,7058.5,3365.6,36.0,39.0,36.0,36.0,38.0,36.0,37.0,39.0,36.0,37.0,39.0,36.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Not Found,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Acetyl [N-Term],37.0,25.109851026707823,15.292099070251918,16.166449779117155,20.456353561935494,21.667188233453295,15.729274424684537,0.23400303569755304,21.061770897694394,0.339365834983246,31.05492551335391
81,20445.1,21031.3,13129.9,25121.4,25811.9,16373.9,18117.6,18509.9,11752.1,25474.8,26130.6,16498.4,40.0,40.0,34.0,40.0,40.0,34.0,40.0,40.0,34.0,40.0,40.0,34.0,High,High,Not Found,High,Not Found,Not Found,Not Found,Not Found,Not Found,High,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,High,High,Not Found,High,High,Not Found,High,High,Not Found,High,High,Not Found,High,High,High,High,Acetyl [N-Term],40.0,90.05286203194203,73.44761004590872,81.30596554912503,97.69624036287176,79.52689980702029,77.37678779751687,0.7081455732751899,88.61157008494602,0.5124508988535591,65.02643101597101
82,4590.1,5531.5,3555.9,5067.1,6081.9,3987.3,3571.6,4269.1,2870.8,5408.4,6456.5,4269.0,34.0,37.0,26.0,34.0,37.0,26.0,34.0,37.0,26.0,34.0,37.0,26.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,34.0,20.769678566635353,19.891420084101696,19.799270572925586,20.74129517713802,20.916588431648673,19.84534532851364,0.458479550492968,20.828941804393345,0.5028462664988456,27.384839283317675
83,9448.4,10370.0,6629.0,11641.2,12484.7,7933.3,8737.9,9571.3,6068.1,12203.2,13674.5,8512.8,34.0,35.0,31.0,34.0,35.0,31.0,34.0,35.0,31.0,34.0,35.0,31.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,34.0,46.56551134075962,37.082095598163654,39.39346255265231,46.79945516338487,39.212694935586505,38.237779075407985,0.800122250073966,43.00607504948569,0.7528362569977719,40.282755670379814
